Random,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
10,AMATS-57,AMATS-57-1,AMATS559,AMATS,AMATS,44.39636711,0,0,0,0
10,AMATS-64,AMATS-64-1,AMATS574,AMATS,AMATS,3.482518065,0,0,0,0
10,AMATS-127,AMATS-127-4,AMATS514,AMATS,AMATS,14.50010954,0,0,0,0
10,AMATS-172,AMATS-172-1,AMATS473,AMATS,AMATS,6.907604744,0,0,0,0
10,AMATS-277,AMATS-277-2,AMATS387,AMATS,AMATS,12.87652562,1,0,95,0
10,AMATS-294,AMATS-294-1,AMATS889,AMATS,AMATS,8.273822931,0,0,0,0
10,AMATS-351,AMATS-351-2,AMATS18,AMATS,AMATS,2.964380295,0,0,0,0
10,AMATS-419,AMATS-419-1,AMATS559,AMATS,AMATS,17.67170522,0,0,0,0
10,AMATS-435,AMATS-435-1,AMATS219,AMATS,AMATS,5.912024242,0,0,0,0
10,AMATS-454,AMATS-454-2,AMATS151,AMATS,AMATS,3.295291341,0,0,0,0
10,AMATS-463,AMATS-463-2,AMATS312,AMATS,AMATS,2.398210471,0,0,0,0
10,AMATS-463,AMATS-463-3,AMATS528,AMATS,AMATS,3.219315154,0,0,0,0
10,AMATS-568,AMATS-568-2,AMATS364,AMATS,AMATS,2.297853575,0,0,0,0
10,AMATS-612,AMATS-612-1,AMATS573,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-702,AMATS-702-1,AMATS143,AMATS,AMATS,2.724508615,0,0,0,0
10,AMATS-755,AMATS-755-3,AMATS57,AMATS,AMATS,15.44064602,0,0,0,0
10,AMATS-760,AMATS-760-1,AMATS149,AMATS,AMATS,22.82351673,0,0,0,0
10,AMATS-783,AMATS-783-2,AMATS58,AMATS,AMATS,7.920657187,0,0,0,0
10,AMATS-796,AMATS-796-1,AMATS132,AMATS,AMATS,1.808453755,0,0,0,0
10,AMATS-890,AMATS-890-2,AMATS70,AMATS,AMATS,53.82867319,0,0,0,0
10,AMATS-1113,AMATS-1113-1,AMATS349,AMATS,AMATS,5.663055689,0,0,0,0
10,AMATS-1127,AMATS-1127-1,AMATS90,AMATS,AMATS,1.889520693,0,0,0,0
10,AMATS-1186,AMATS-1186-3,AMATS217,AMATS,AMATS,5.243193495,0,0,0,0
10,AMATS-1250,AMATS-1250-1,AMATS57,AMATS,AMATS,34.97568454,0,0,0,0
10,AMATS-1253,AMATS-1253-1,AMATS138,AMATS,AMATS,4.199472284,0,0,0,0
10,AMATS-1261,AMATS-1261-1,AMATS40,AMATS,AMATS,10.63587577,0,0,0,0
10,AMATS-1329,AMATS-1329-2,AMATS135,AMATS,AMATS,5.480011298,0,0,0,0
10,AMATS-1356,AMATS-1356-1,AMATS243,AMATS,AMATS,8.029023475,0,0,0,0
10,AMATS-1386,AMATS-1386-1,AMATS138,AMATS,AMATS,48.11419459,0,0,0,0
10,AMATS-1388,AMATS-1388-1,AMATS754,AMATS,AMATS,1.31993871,0,0,0,0
10,AMATS-1436,AMATS-1436-2,AMATS267,AMATS,AMATS,1.916601589,0,0,0,0
10,AMATS-1465,AMATS-1465-1,AMATS861,AMATS,AMATS,7.915133748,0,0,0,0
10,AMATS-1502,AMATS-1502-1,AMATS528,AMATS,AMATS,1.551350649,0,0,0,0
10,AMATS-1584,AMATS-1584-3,AMATS34,AMATS,AMATS,16.39592685,0,0,0,0
10,AMATS-1628,AMATS-1628-1,AMATS57,AMATS,AMATS,48.47404152,0,0,0,0
10,AMATS-1646,AMATS-1646-1,AMATS885,AMATS,AMATS,9.49E-05,0,0,0,0
